Hostname,IPAddress,OS,AssetType,Owner,BusinessCriticality
linapp0126,10.50.5.35,RHEL 9,Server,Core-Infra,Critical
linapp0131,10.50.5.40,RHEL 9,Server,Core-Infra,Critical
linapp0144,10.50.5.53,RHEL 9,Server,Core-Infra,Critical
linapp0156,10.50.5.65,RHEL 9,Server,Core-Infra,Critical
linapp0121,10.50.5.30,RHEL 9,Server,Core-Infra,Critical
linapp0149,10.50.5.58,RHEL 9,Server,Core-Infra,Critical
linapp0139,10.50.5.48,RHEL 9,Server,Core-Infra,Critical
linapp0159,10.50.5.68,RHEL 9,Server,Core-Infra,Critical
linapp0112,10.50.5.21,RHEL 9,Server,Core-Infra,Critical
linapp0130,10.50.5.39,RHEL 9,Server,Core-Infra,Critical
linapp0138,10.50.5.47,RHEL 9,Server,Core-Infra,Critical
linapp0161,10.50.5.70,RHEL 9,Server,Core-Infra,Critical
linapp0134,10.50.5.43,RHEL 9,Server,Core-Infra,Critical
linapp0157,10.50.5.66,RHEL 9,Server,Core-Infra,Critical
linapp0117,10.50.5.26,RHEL 9,Server,Core-Infra,Critical
linapp0141,10.50.5.50,RHEL 9,Server,Core-Infra,Critical
linapp0160,10.50.5.69,RHEL 9,Server,Core-Infra,Critical
linapp0110,10.50.5.19,RHEL 9,Server,Core-Infra,Critical
linapp0120,10.50.5.29,RHEL 9,Server,Core-Infra,Critical
linapp0111,10.50.5.20,RHEL 9,Server,Core-Infra,Critical
linapp0124,10.50.5.33,RHEL 9,Server,Core-Infra,Critical
linapp0122,10.50.5.31,RHEL 9,Server,Core-Infra,Critical
linapp0127,10.50.5.36,RHEL 9,Server,Core-Infra,Critical
linapp0136,10.50.5.45,RHEL 9,Server,Core-Infra,Critical
linapp0162,10.50.5.71,RHEL 9,Server,Core-Infra,Critical
linapp0109,10.50.5.18,RHEL 9,Server,Core-Infra,Critical
linapp0101,10.50.5.10,RHEL 9,Server,Core-Infra,Critical
linapp0118,10.50.5.27,RHEL 9,Server,Core-Infra,Critical
linapp0146,10.50.5.55,RHEL 9,Server,Core-Infra,Critical
linapp0151,10.50.5.60,RHEL 9,Server,Core-Infra,Critical
linapp0150,10.50.5.59,RHEL 9,Server,Core-Infra,Critical
linapp0104,10.50.5.13,RHEL 9,Server,Core-Infra,Critical
linapp0129,10.50.5.38,RHEL 9,Server,Core-Infra,Critical
linapp0153,10.50.5.62,RHEL 9,Server,Core-Infra,Critical
linapp0155,10.50.5.64,RHEL 9,Server,Core-Infra,Critical
linapp0142,10.50.5.51,RHEL 9,Server,Core-Infra,Critical
linapp0143,10.50.5.52,RHEL 9,Server,Core-Infra,Critical
linapp0106,10.50.5.15,RHEL 9,Server,Core-Infra,Critical
linapp0114,10.50.5.23,RHEL 9,Server,Core-Infra,Critical
linapp0137,10.50.5.46,RHEL 9,Server,Core-Infra,Critical
linapp0113,10.50.5.22,RHEL 9,Server,Core-Infra,Critical
linapp0125,10.50.5.34,RHEL 9,Server,Core-Infra,Critical
linapp0154,10.50.5.63,RHEL 9,Server,Core-Infra,Critical
linapp0108,10.50.5.17,RHEL 9,Server,Core-Infra,Critical
linapp0135,10.50.5.44,RHEL 9,Server,Core-Infra,Critical
linapp0102,10.50.5.11,RHEL 9,Server,Core-Infra,Critical
linapp0140,10.50.5.49,RHEL 9,Server,Core-Infra,Critical
linapp0148,10.50.5.57,RHEL 9,Server,Core-Infra,Critical
linapp0123,10.50.5.32,RHEL 9,Server,Core-Infra,Critical
linapp0133,10.50.5.42,RHEL 9,Server,Core-Infra,Critical
linapp0128,10.50.5.37,RHEL 9,Server,Core-Infra,Critical
linapp0145,10.50.5.54,RHEL 9,Server,Core-Infra,Critical
linapp0119,10.50.5.28,RHEL 9,Server,Core-Infra,Critical
linapp0152,10.50.5.61,RHEL 9,Server,Core-Infra,Critical
linapp0147,10.50.5.56,RHEL 9,Server,Core-Infra,Critical
linapp0158,10.50.5.67,RHEL 9,Server,Core-Infra,Critical
linapp0132,10.50.5.41,RHEL 9,Server,Core-Infra,Critical
linapp0105,10.50.5.14,RHEL 9,Server,Core-Infra,Critical
linapp0115,10.50.5.24,RHEL 9,Server,Core-Infra,Critical
linapp0116,10.50.5.25,RHEL 9,Server,Core-Infra,Critical
linapp0103,10.50.5.12,RHEL 9,Server,Core-Infra,Critical
linapp0107,10.50.5.16,RHEL 9,Server,Core-Infra,Critical
linsrv0315,10.50.8.55,RHEL 9,Server,Team-D,High
linsrv0303,10.50.8.43,RHEL 9,Server,Team-D,High
linsrv0353,10.50.8.93,RHEL 9,Server,Team-D,High
linsrv0339,10.50.8.79,RHEL 9,Server,Team-D,High
linsrv0309,10.50.8.49,RHEL 9,Server,Team-D,High
linsrv0317,10.50.8.57,RHEL 9,Server,Team-D,High
linsrv0359,10.50.8.99,RHEL 9,Server,Team-D,High
linsrv0319,10.50.8.59,RHEL 9,Server,Team-D,High
linsrv0357,10.50.8.97,RHEL 9,Server,Team-D,High
linsrv0347,10.50.8.87,RHEL 9,Server,Team-D,High
linsrv0311,10.50.8.51,RHEL 9,Server,Team-D,High
linsrv0329,10.50.8.69,RHEL 9,Server,Team-D,High
linsrv0305,10.50.8.45,RHEL 9,Server,Team-D,High
linsrv0321,10.50.8.61,RHEL 9,Server,Team-D,High
linsrv0355,10.50.8.95,RHEL 9,Server,Team-D,High
linsrv0335,10.50.8.75,RHEL 9,Server,Team-D,High
linsrv0345,10.50.8.85,RHEL 9,Server,Team-D,High
linsrv0323,10.50.8.63,RHEL 9,Server,Team-D,High
linsrv0327,10.50.8.67,RHEL 9,Server,Team-D,High
linsrv0333,10.50.8.73,RHEL 9,Server,Team-D,High
linsrv0343,10.50.8.83,RHEL 9,Server,Team-D,High
linsrv0301,10.50.8.41,RHEL 9,Server,Team-D,High
linsrv0325,10.50.8.65,RHEL 9,Server,Team-D,High
linsrv0341,10.50.8.81,RHEL 9,Server,Team-D,High
linsrv0351,10.50.8.91,RHEL 9,Server,Team-D,High
