IncidentID,AlertType,Status,Severity,PrimaryHost,PrimaryUser,Summary,CreationTimestamp
INC-20250912-0470,IOC_MATCH,Closed - False Positive,Low,winws0135,j.doe,Benign indicator match (research activity),2025-09-12 21:25:33.987654 UTC
INC-20250913-0398,IOC_MATCH,Closed - False Positive,Low,winws1277,m.chen,Benign indicator match (research activity),2025-09-13 06:25:33.987654 UTC
INC-20250914-0108,IOC_MATCH,Closed - False Positive,Low,winws1219,p.patel,Benign indicator match (research activity),2025-09-14 18:40:05.789012 UTC
INC-20250915-0050,IOC_MATCH,Closed - False Positive,Low,winws0093,p.patel,Benign indicator match (research activity),2025-09-15 01:55:33.234567 UTC
INC-20250913-0260,IOC_MATCH,Closed - False Positive,Low,winws0114,d.kim,Benign indicator match (research activity),2025-09-13 23:40:05.123456 UTC
INC-20250913-0440,IOC_MATCH,Closed - False Positive,Low,winws0132,m.chen,Benign indicator match (research activity),2025-09-13 01:10:05.123456 UTC
INC-20250914-0150,IOC_MATCH,Closed - False Positive,Low,winws0103,p.patel,Benign indicator match (research activity),2025-09-14 13:25:33.876543 UTC
INC-20250914-0188,IOC_MATCH,Closed - False Positive,Low,winws1235,a.smith,Benign indicator match (research activity),2025-09-14 08:40:05.123456 UTC
INC-20250913-0298,IOC_MATCH,Closed - False Positive,Low,winws1257,m.chen,Benign indicator match (research activity),2025-09-13 18:55:33.456789 UTC
INC-20250913-0340,IOC_MATCH,Closed - False Positive,Low,winws0122,m.chen,Benign indicator match (research activity),2025-09-13 13:40:05.56789 UTC
INC-20250914-0210,IOC_MATCH,Closed - False Positive,Low,winws0109,d.kim,Benign indicator match (research activity),2025-09-14 05:55:33.345678 UTC
INC-20250913-0370,IOC_MATCH,Closed - False Positive,Low,winws0125,j.doe,Benign indicator match (research activity),2025-09-13 09:55:33.456789 UTC
INC-20250915-0029,IOC_MATCH,Closed - False Positive,Low,linsrv0302,system,Benign indicator match (research activity),2025-09-15 04:30:00.987654 UTC
INC-20250914-0130,IOC_MATCH,Closed - False Positive,Low,winws0101,a.smith,Benign indicator match (research activity),2025-09-14 15:55:33.765432 UTC
INC-20250913-0280,IOC_MATCH,Closed - False Positive,Low,winws0116,a.smith,Benign indicator match (research activity),2025-09-13 21:10:05.456789 UTC
INC-20250912-0498,IOC_MATCH,Closed - False Positive,Low,winws1297,m.chen,Benign indicator match (research activity),2025-09-12 17:55:33.345678 UTC
INC-20250914-0170,IOC_MATCH,Closed - False Positive,Low,winws0105,j.doe,Benign indicator match (research activity),2025-09-14 10:55:33.123456 UTC
INC-20250914-0090,IOC_MATCH,Closed - False Positive,Low,winws0097,m.chen,Benign indicator match (research activity),2025-09-14 20:55:33.789012 UTC
INC-20250914-0220,IOC_MATCH,Closed - False Positive,Medium,winws0110,j.doe,False positive: Traffic to known scanner IP,2025-09-14 04:40:05.765432 UTC
INC-20250913-0350,IOC_MATCH,Closed - False Positive,Medium,winws0123,p.patel,False positive: Traffic to known scanner IP,2025-09-13 12:25:33.123456 UTC
INC-20250915-0060,IOC_MATCH,Closed - False Positive,Medium,winws0094,d.kim,False positive: Traffic to known scanner IP,2025-09-15 00:40:05.876543 UTC
INC-20250913-0433,IOC_MATCH,Closed - False Positive,Medium,linapp0145,svc_api,False positive: Traffic to known scanner IP,2025-09-13 02:02:45.456789 UTC
INC-20250913-0363,IOC_MATCH,Closed - False Positive,Medium,linapp0138,svc_api,False positive: Traffic to known scanner IP,2025-09-13 10:48:19.345678 UTC
INC-20250913-0263,IOC_MATCH,Closed - False Positive,Medium,linapp0128,svc_api,False positive: Traffic to known scanner IP,2025-09-13 23:18:19.987654 UTC
INC-20250914-0203,IOC_MATCH,Closed - False Positive,Medium,linapp0122,svc_api,False positive: Traffic to known scanner IP,2025-09-14 06:48:19.234567 UTC
INC-20250913-0285,IOC_MATCH,Closed - False Positive,Medium,winws1074,d.kim,False positive: Traffic to known scanner IP,2025-09-13 20:33:45.876543 UTC
INC-20250914-0073,IOC_MATCH,Closed - False Positive,Medium,linapp0109,svc_api,False positive: Traffic to known scanner IP,2025-09-14 23:02:45.456789 UTC
INC-20250914-0123,IOC_MATCH,Closed - False Positive,Medium,linapp0114,svc_api,False positive: Traffic to known scanner IP,2025-09-14 16:48:19.876543 UTC
INC-20250915-0018,IOC_MATCH,Closed - False Positive,Medium,winws1201,d.kim,False positive: Traffic to known scanner IP,2025-09-15 05:50:44.789012 UTC
INC-20250915-0042,IOC_MATCH,Closed - False Positive,Medium,winws0157,d.kim,False positive: Traffic to known scanner IP,2025-09-15 02:55:33.876543 UTC
INC-20250913-0413,IOC_MATCH,Closed - False Positive,Medium,linapp0143,svc_api,False positive: Traffic to known scanner IP,2025-09-13 04:33:45.123456 UTC
INC-20250914-0233,IOC_MATCH,Closed - False Positive,Medium,linapp0125,svc_api,False positive: Traffic to known scanner IP,2025-09-14 03:02:45.123456 UTC
INC-20250915-0006,IOC_MATCH,Closed - False Positive,Medium,lindb0040,svc_prod_db,False positive: Traffic to known scanner IP,2025-09-15 07:22:11.456789 UTC
INC-20250913-0313,IOC_MATCH,Closed - False Positive,Medium,linapp0133,svc_api,False positive: Traffic to known scanner IP,2025-09-13 17:02:45.56789 UTC
INC-20250914-0250,IOC_MATCH,Closed - False Positive,Medium,winws0113,p.patel,False positive: Traffic to known scanner IP,2025-09-14 00:55:33.56789 UTC
INC-20250914-0140,IOC_MATCH,Closed - False Positive,Medium,winws0102,m.chen,False positive: Traffic to known scanner IP,2025-09-14 14:40:05.234567 UTC
INC-20250913-0380,IOC_MATCH,Closed - False Positive,Medium,winws0126,a.smith,False positive: Traffic to known scanner IP,2025-09-13 08:40:05.987654 UTC
INC-20250914-0163,IOC_MATCH,Closed - False Positive,Medium,linapp0118,svc_api,False positive: Traffic to known scanner IP,2025-09-14 11:48:19.456789 UTC
INC-20250912-0480,IOC_MATCH,Closed - False Positive,Medium,winws0136,a.smith,False positive: Traffic to known scanner IP,2025-09-12 20:10:05.345678 UTC
INC-20250914-0095,IOC_MATCH,Closed - False Positive,Medium,winws1055,j.doe,False positive: Traffic to known scanner IP,2025-09-14 20:18:19.234567 UTC
INC-20250912-0485,IOC_MATCH,Closed - False Positive,Medium,winws1094,d.kim,False positive: Traffic to known scanner IP,2025-09-12 19:33:45.123456 UTC
INC-20250913-0333,IOC_MATCH,Closed - False Positive,Medium,linapp0135,svc_api,False positive: Traffic to known scanner IP,2025-09-13 14:33:45.789012 UTC
INC-20250912-0463,IOC_MATCH,Closed - False Positive,Medium,linapp0148,svc_api,False positive: Traffic to known scanner IP,2025-09-12 22:18:19.765432 UTC
INC-20250914-0070,IOC_MATCH,Closed - Remediated,Low,winws0095,j.doe,Benign indicator match (research activity),2025-09-14 23:25:33.56789 UTC
INC-20250913-0418,IOC_MATCH,Closed - Remediated,Low,winws1281,d.kim,Benign indicator match (research activity),2025-09-13 03:55:33.765432 UTC
INC-20250914-0230,IOC_MATCH,Closed - Remediated,Low,winws0111,a.smith,Benign indicator match (research activity),2025-09-14 03:25:33.234567 UTC
INC-20250915-0005,IOC_MATCH,Closed - Remediated,Low,winws1045,m.chen,Benign indicator match (research activity),2025-09-15 07:30:55.678901 UTC
INC-20250913-0318,IOC_MATCH,Closed - Remediated,Low,winws1261,d.kim,Benign indicator match (research activity),2025-09-13 16:25:33.345678 UTC
