PlaybookID,TriggeringCondition,ActionStep,ActionCommand,TargetDescription,RequiresApproval,bool_field_6
PB-012,AlertType = 'PHISHING_EMAIL',1,block_url,The malicious URL from the email body,false,
PB-012,AlertType = 'PHISHING_EMAIL',2,block_domain,The sender domain (if malicious),false,
PB-012,AlertType = 'PHISHING_EMAIL',3,block_ip,The originating SMTP IP,false,
PB-012,AlertType = 'PHISHING_EMAIL',4,search_and_delete_email,All emails matching subject/sender,false,
PB-012,AlertType = 'PHISHING_EMAIL',5,reset_user_credentials,The user who clicked the link,true,
PB-CS-001,ThreatName = 'Cobalt Strike C2',1,block_ip,The C2 IP Address,false,
PB-CS-001,ThreatName = 'Cobalt Strike C2',2,block_domain,The C2 Domain,false,
PB-CS-001,ThreatName = 'Cobalt Strike C2',3,isolate_host,The compromised host communicating with C2,true,
PB-RANSOM-001,ThreatName = 'LockbitC2',1,isolate_host,The infected host,true,
PB-RANSOM-001,ThreatName = 'LockbitC2',2,block_ip,The C2 IP Address,false,
PB-RANSOM-001,ThreatName = 'LockbitC2',3,reset_user_credentials,The compromised user account,true,
PB-DROP-005,ThreatName = 'WizzySpiderDropper',1,block_hash,The malware SHA256 hash,false,
PB-DROP-005,ThreatName = 'WizzySpiderDropper',2,delete_file,The dropper file from the endpoint,false,
PB-DROP-005,ThreatName = 'WizzySpiderDropper',3,isolate_host,The compromised host,true,
PB-CREDS-002,ThreatName = 'Mimikatz',1,terminate_process,The malicious Mimikatz process,false,
PB-CREDS-002,ThreatName = 'Mimikatz',2,isolate_host,The compromised host,true,
PB-CREDS-002,ThreatName = 'Mimikatz',3,reset_user_credentials,All privileged accounts on host,true,
PB-CRYPTO-001,ThreatName = 'CoinMiner',1,block_ip,The mining pool IP Address,false,
PB-CRYPTO-001,ThreatName = 'CoinMiner',2,block_domain,The mining pool domain,false,
PB-CRYPTO-001,ThreatName = 'CoinMiner',3,terminate_process,The mining process (e.g., xmrig),false
