IOC_Value,IOC_Type,IsMalicious,ThreatName,Confidence,LastSeen
e45e214d23c21a1f59bd00c25a8123c89901d1a896d8f8d223a23722421b3070,SHA256,true,Mimikatz,Critical,2025-07-20
89901d1a896d8f8d223a23722421b3070e45e214d23c21a1f59bd00c25a8123c,SHA256,true,Mimikatz,Critical,2025-07-20
f975877f2d6b38c0a8809117646540c4af8121115b0580894582f3a4c0383d47,SHA256,true,Mimikatz,Critical,2025-07-20
1f59bd00c25a8123c89901d1a896d8f8d223a23722421b3070e45e214d23c21a,SHA256,true,Mimikatz,Critical,2025-07-20
8f8d223a23722421b3070e45e214d23c21a1f59bd00c25a8123c89901d1a896d,SHA256,true,Mimikatz,Critical,2025-07-20
8123c89901d1a896d8f8d223a23722421b3070e45e214d23c21a1f59bd00c25a,SHA256,true,Mimikatz,Critical,2025-07-20
223a23722421b3070e45e214d23c21a1f59bd00c25a8123c89901d1a896d8f8d,SHA256,true,Mimikatz,Critical,2025-07-20
96d8f8d223a23722421b3070e45e214d23c21a1f59bd00c25a8123c89901d1a8,SHA256,true,Mimikatz,Critical,2025-07-20
c89901d1a896d8f8d223a23722421b3070e45e214d23c21a1f59bd00c25a8123,SHA256,true,Mimikatz,Critical,2025-07-20
d1a896d8f8d223a23722421b3070e45e214d23c21a1f59bd00c25a8123c89901,SHA256,true,Mimikatz,Critical,2025-07-20
421b3070e45e214d23c21a1f59bd00c25a8123c89901d1a896d8f8d223a23722,SHA256,true,Mimikatz,Critical,2025-07-20
f8d223a23722421b3070e45e214d23c21a1f59bd00c25a8123c89901d1a896d8,SHA256,true,Mimikatz,Critical,2025-07-20
3a4c0383d47f975877f2d6b38c0a8809117646540c4af8121115b0580894582f,SHA256,true,Mimikatz,Critical,2025-07-21
2d6b38c0a8809117646540c4af8121115b0580894582f3a4c0383d47f975877f,SHA256,true,Mimikatz,Critical,2025-07-21
4c0383d47f975877f2d6b38c0a8809117646540c4af8121115b0580894582f3a,SHA256,true,Mimikatz,Critical,2025-07-21
582f3a4c0383d47f975877f2d6b38c0a8809117646540c4af8121115b0580894,SHA256,true,Mimikatz,Critical,2025-07-21
f0084f4787a270726d40cb97e556e4a2b0e6e7f22b8d2a85360f098048107921,SHA256,true,Mimikatz,Critical,2025-07-22
cb97e556e4a2b0e6e7f22b8d2a85360f098048107921f0084f4787a270726d40,SHA256,true,Mimikatz,Critical,2025-07-22
8.8.8.8,IP,false,KnownGood-GoogleDNS,High,2024-01-01
1.1.1.1,IP,false,KnownGood-CloudflareDNS,High,2024-01-01
1.0.0.1,IP,false,KnownGood-CloudflareDNS,High,2024-01-01
8.8.4.4,IP,false,KnownGood-GoogleDNS,High,2024-01-01
172.67.149.22,IP,false,KnownGood-Cloudflare,High,2024-02-01
104.18.37.128,IP,false,KnownGood-Cloudflare,High,2024-02-02
172.64.33.100,IP,false,KnownGood-Cloudflare,High,2024-02-03
104.21.5.192,IP,false,KnownGood-Cloudflare,High,2024-02-04
104.16.123.96,IP,false,KnownGood-Cloudflare,High,2024-02-05
104.26.10.22,IP,false,KnownGood-Cloudflare,High,2024-02-06
172.67.70.125,IP,false,KnownGood-Cloudflare,High,2024-02-07
104.22.40.117,IP,false,KnownGood-Cloudflare,High,2024-02-08
172.67.186.68,IP,false,KnownGood-Cloudflare,High,2024-02-09
104.18.26.195,IP,false,KnownGood-Cloudflare,High,2024-02-10
142.250.196.174,IP,false,KnownGood-Google,High,2024-03-03
151.101.65.132,IP,false,KnownGood-Fastly,High,2024-04-01
151.101.193.132,IP,false,KnownGood-Fastly,High,2024-04-02
151.101.1.132,IP,false,KnownGood-Fastly,High,2024-04-03
151.101.129.132,IP,false,KnownGood-Fastly,High,2024-04-04
151.101.66.217,IP,false,KnownGood-Fastly,High,2024-04-05
151.101.2.217,IP,false,KnownGood-Fastly,High,2024-04-06
4b2d07611a56b0014022370604b68e0018a1a3674686b2454b868e4b85e03251,SHA256,false,KnownGood-Microsoft,High,2024-05-01
018a1a3674686b2454b868e4b85e032514b2d07611a56b0014022370604b68e0,SHA256,false,KnownGood-Microsoft,High,2024-05-02
b2454b868e4b85e032514b2d07611a56b0014022370604b68e0018a1a3674686,SHA256,false,KnownGood-Microsoft,High,2024-05-03
b0014022370604b68e0018a1a3674686b2454b868e4b85e032514b2d07611a56,SHA256,false,KnownGood-Microsoft,High,2024-05-04
604b68e0018a1a3674686b2454b868e4b85e032514b2d07611a56b0014022370,SHA256,false,KnownGood-Microsoft,High,2024-05-05
4686b2454b868e4b85e032514b2d07611a56b0014022370604b68e0018a1a367,SHA256,false,KnownGood-Microsoft,High,2024-05-06
8d02241696511a51a13fe39a567b3c23b28c2f47d8af6be9bd63e030e214dc89,SHA256,false,Benign,High,2024-08-15
a46e37632fa6ca51a13fe39a567b3c23b28c2f47d8af6be9bd63e030e214ba38,SHA256,false,Benign,High,2024-08-27
567b3c23b28c2f47d8af6be9bd63e030e214ba38a46e37632fa6ca51a13fe39a,SHA256,false,Benign,High,2024-08-28
e9bd63e030e214ba38a46e37632fa6ca51a13fe39a567b3c23b28c2f47d8af6b,SHA256,false,Benign,High,2024-08-29
2f47d8af6be9bd63e030e214ba38a46e37632fa6ca51a13fe39a567b3c23b28c,SHA256,false,Benign,High,2024-08-30
b28c2f47d8af6be9bd63e030e214ba38a46e37632fa6ca51a13fe39a567b3c23,SHA256,false,Benign,High,2024-08-31
3c23b28c2f47d8af6be9bd63e030e214ba38a46e37632fa6ca51a13fe39a567b,SHA256,false,Benign,High,2024-09-01
47d8af6be9bd63e030e214ba38a46e37632fa6ca51a13fe39a567b3c23b28c2f,SHA256,false,Benign,High,2024-09-02
7d8af6be9bd63e030e214ba38a46e37632fa6ca51a13fe39a567b3c23b28c2f4,SHA256,false,Benign,High,2024-09-03
13fe39a567b3c23b28c2f47d8af6be9bd63e030e214ba38a46e37632fa6ca51a,SHA256,false,Benign,High,2024-09-04
6be9bd63e030e214ba38a46e37632fa6ca51a13fe39a567b3c23b28c2f47d8af,SHA256,false,Benign,High,2024-09-05
