date,state,latitude,longitude,state_area_km2,region,national_share_percentage,consumption_mega_units,thermal_actual_mega_units,thermal_estimated_mega_units,nuclear_actual_mega_units,nuclear_estimated_mega_units,hydro_actual_mega_units,hydro_estimated_mega_units,total_generation_actual_mega_units,total_generation_estimated_mega_units,power_supplier
2017-09-01,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,15.91,0.0,0.0,24.64,21.21,53.75,37.120000000000005,JSW Energy
2017-09-01,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1106.89,1024.33,25.17,3.81,72.0,21.53,1204.0600000000002,1049.6699999999998,Power Grid Corporation of India Ltd
2017-09-01,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,576.66,578.55,62.73,49.8,111.57,64.78,750.96,693.1299999999999,Power Grid Corporation of India Ltd
2017-09-01,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,624.23,484.21,30.36,35.57,273.27,320.81,927.86,840.5899999999999,NLC India Limited
2017-09-01,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,441.02,429.39,0.0,0.0,85.94,69.36,526.96,498.75,NTPC Ltd
2017-09-02,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1106.89,1050.91,25.17,3.83,72.0,23.97,1204.0600000000002,1078.71,Tata Power
2017-09-02,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,441.02,425.75,0.0,0.0,85.94,74.18,526.96,499.93,NTPC Ltd
2017-09-02,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,576.66,562.79,62.73,52.76,111.57,59.49,750.96,675.04,JSW Energy
2017-09-02,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,16.5,0.0,0.0,24.64,20.81,53.75,37.31,SJVN Ltd
2017-09-02,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,624.23,507.42,30.36,35.69,273.27,317.19,927.86,860.3,NTPC Ltd
2017-09-03,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,445.38,427.61,0.0,0.0,85.94,71.05,531.3199999999999,498.66,Tata Power
2017-09-03,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,15.52,0.0,0.0,24.64,23.84,53.75,39.36,Adani Power
2017-09-03,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,572.16,530.68,62.73,53.12,111.57,47.53,746.46,631.3299999999999,Tata Power
2017-09-03,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1106.89,1066.73,25.17,3.8,72.0,13.94,1204.0600000000002,1084.47,Tata Power
2017-09-03,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,624.23,492.69,30.36,35.65,273.27,316.69,927.86,845.03,NLC India Limited
2017-09-04,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,445.38,450.85,0.0,0.0,85.94,75.21,531.3199999999999,526.0600000000001,NLC India Limited
2017-09-04,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,572.16,562.81,62.73,53.19,111.57,66.2,746.46,682.2,SJVN Ltd
